Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:49.025, true,
2018-08-24 14:06:49.124, true,
2018-08-24 14:06:49.224, true,
2018-08-24 14:06:49.323, true,
2018-08-24 14:06:49.422, true,
2018-08-24 14:06:49.521, true,
2018-08-24 14:06:49.620, true,
2018-08-24 14:06:49.719, true,
2018-08-24 14:06:49.818, true,
2018-08-24 14:06:49.917, true,
2018-08-24 14:06:50.017, true,
2018-08-24 14:06:50.116, true,
2018-08-24 14:06:50.215, true,
2018-08-24 14:06:50.314, true,
2018-08-24 14:06:50.413, true,
2018-08-24 14:06:50.512, true,
2018-08-24 14:06:50.611, true,
2018-08-24 14:06:50.710, true,
2018-08-24 14:06:50.810, true,
2018-08-24 14:06:50.909, true,
2018-08-24 14:06:51.008, true,
2018-08-24 14:06:51.107, true,
2018-08-24 14:06:51.206, true,
2018-08-24 14:06:51.305, true,
2018-08-24 14:06:51.404, true,
2018-08-24 14:06:51.503, true,
2018-08-24 14:06:51.603, true,
2018-08-24 14:06:51.702, true,
2018-08-24 14:06:51.801, true,
2018-08-24 14:06:51.900, true,
2018-08-24 14:06:51.999, true,
2018-08-24 14:06:52.098, true,
2018-08-24 14:06:52.197, true,
2018-08-24 14:06:52.296, true,
2018-08-24 14:06:52.396, true,
2018-08-24 14:06:52.495, true,
2018-08-24 14:06:52.594, true,
2018-08-24 14:06:52.693, true,
2018-08-24 14:06:52.792, true,
2018-08-24 14:06:52.891, true,
2018-08-24 14:06:52.990, true,
2018-08-24 14:06:53.089, true,
2018-08-24 14:06:53.189, true,
2018-08-24 14:06:53.288, true,
2018-08-24 14:06:53.387, true,
2018-08-24 14:06:53.486, true,
2018-08-24 14:06:53.585, true,
2018-08-24 14:06:53.684, true,
2018-08-24 14:06:53.783, true,
2018-08-24 14:06:53.882, true,
2018-08-24 14:06:53.982, true,
2018-08-24 14:06:54.081, true,
2018-08-24 14:06:54.180, true,
2018-08-24 14:06:54.279, true,
2018-08-24 14:06:54.378, true,
2018-08-24 14:06:54.477, true,
2018-08-24 14:06:54.576, true,
2018-08-24 14:06:54.675, true,
2018-08-24 14:06:54.774, true,
2018-08-24 14:06:54.874, true,
2018-08-24 14:06:54.973, true,
2018-08-24 14:06:55.072, true,
2018-08-24 14:06:55.171, true,
2018-08-24 14:06:55.270, true,
2018-08-24 14:06:55.369, true,
2018-08-24 14:06:55.468, true,
2018-08-24 14:06:55.567, true,
2018-08-24 14:06:55.667, true,
2018-08-24 14:06:55.766, true,
2018-08-24 14:06:55.865, true,
2018-08-24 14:06:55.964, true,
2018-08-24 14:06:56.063, true,
2018-08-24 14:06:56.162, true,
2018-08-24 14:06:56.261, true,
2018-08-24 14:06:56.360, true,
2018-08-24 14:06:56.460, true,
